TimeSlot,mMTC_BW,URLLC_BW,eMBB_BW,mMTC_CPU,URLLC_CPU,eMBB_CPU,mMTC_MEM,URLLC_MEM,eMBB_MEM
1,196.822214683836,366.089319311934,437.08846600423,19.6822214683836,36.6089319311934,43.708846600423,19.6822214683836,36.6089319311934,43.708846600423
2,151.677055934832,326.10567025989,522.217273805278,15.1677055934832,32.610567025989,52.2217273805278,15.1677055934832,32.610567025989,52.2217273805278
3,181.414119722214,385.917309227254,432.668571050532,18.1414119722214,38.5917309227254,43.2668571050532,18.1414119722214,38.5917309227254,43.2668571050532
4,216.691129981107,310.590619639587,472.718250379306,21.6691129981107,31.0590619639587,47.2718250379306,21.6691129981107,31.0590619639587,47.2718250379306
5,178.985135401893,401.803365187923,419.211499410185,17.8985135401893,40.1803365187923,41.9211499410185,17.8985135401893,40.1803365187923,41.9211499410185
6,177.655939595981,316.167350128442,506.176710275577,17.7655939595981,31.6167350128442,50.6176710275577,17.7655939595981,31.6167350128442,50.6176710275577
7,225.494946907301,0,774.505053092699,22.5494946907301,0,77.4505053092699,22.5494946907301,0,77.4505053092699
8,274.852822739654,0,725.147177260347,27.4852822739654,0,72.5147177260346,27.4852822739654,0,72.5147177260346
9,376.192515147426,0,623.807484852574,37.6192515147426,0,62.3807484852574,37.6192515147426,0,62.3807484852574
10,301.252174662491,0,698.747825337509,30.1252174662491,0,69.8747825337509,30.1252174662491,0,69.8747825337509
11,316.774082562482,0,683.225917437518,31.6774082562482,0,68.3225917437518,31.6774082562482,0,68.3225917437518
12,248.21774422074,0,751.782255779259,24.821774422074,0,75.178225577926,24.821774422074,0,75.178225577926
13,182.056404591447,280.798861319011,537.144734089543,18.2056404591447,28.0798861319011,53.7144734089543,18.2056404591447,28.0798861319011,53.7144734089543
14,263.36332398828,0,736.63667601172,26.336332398828,0,73.663667601172,26.336332398828,0,73.663667601172
15,247.807703502464,0,752.192296497536,24.7807703502464,0,75.2192296497536,24.7807703502464,0,75.2192296497536
16,228.404594914704,0,771.595405085296,22.8404594914704,0,77.1595405085296,22.8404594914704,0,77.1595405085296
17,237.063810715578,0,762.936189284422,23.7063810715578,0,76.2936189284422,23.7063810715578,0,76.2936189284422
18,158.257257719429,0,841.742742280571,15.8257257719429,0,84.1742742280571,15.8257257719429,0,84.1742742280571
19,181.805984746825,0,818.194015253175,18.1805984746825,0,81.8194015253175,18.1805984746825,0,81.8194015253175
20,312.735766068462,0,687.264233931538,31.2735766068462,0,68.7264233931538,31.2735766068462,0,68.7264233931538
21,350.118589647151,0,649.881410352849,35.0118589647151,0,64.9881410352849,35.0118589647151,0,64.9881410352849
22,299.569752972956,0,700.430247027044,29.9569752972956,0,70.0430247027044,29.9569752972956,0,70.0430247027044
23,300.75918195825,0,699.24081804175,30.075918195825,0,69.924081804175,30.075918195825,0,69.924081804175
24,243.831327880267,0,756.168672119733,24.3831327880267,0,75.6168672119733,24.3831327880267,0,75.6168672119733
25,238.236420538421,0,761.763579461579,23.8236420538421,0,76.1763579461579,23.8236420538421,0,76.1763579461579
26,173.728917503019,0,826.271082496981,17.3728917503019,0,82.6271082496981,17.3728917503019,0,82.6271082496981
27,200.673291409824,0,799.326708590176,20.0673291409824,0,79.9326708590176,20.0673291409824,0,79.9326708590176
28,224.457282353379,0,775.542717646621,22.4457282353379,0,77.5542717646621,22.4457282353379,0,77.5542717646621
29,171.90660534639,0,828.09339465361,17.190660534639,0,82.809339465361,17.190660534639,0,82.809339465361
30,187.484371620546,0,812.515628379454,18.7484371620546,0,81.2515628379454,18.7484371620546,0,81.2515628379454
31,195.057280923018,0,804.942719076982,19.5057280923018,0,80.4942719076982,19.5057280923018,0,80.4942719076982
32,125.60846357879,0,874.391536421209,12.560846357879,0,87.4391536421209,12.560846357879,0,87.4391536421209
33,191.154231277468,0,808.845768722532,19.1154231277468,0,80.8845768722532,19.1154231277468,0,80.8845768722532
34,216.229586362909,0,783.770413637091,21.6229586362909,0,78.3770413637091,21.6229586362909,0,78.3770413637091
35,167.919818255135,0,832.080181744865,16.7919818255135,0,83.2080181744865,16.7919818255135,0,83.2080181744865
36,181.047976501316,0,818.952023498684,18.1047976501316,0,81.8952023498684,18.1047976501316,0,81.8952023498684
