Episode,Reward
1,1026.79660494258
2,1011.25555494258
3,1022.60235494258
4,1025.93210494258
5,996.487804942582
6,1019.75805494258
7,962.882504942581
8,1004.34145494258
9,1023.32055494258
10,1027.74470494258
11,1028.89135494258
12,1020.86005494258
13,1011.62985494258
14,1025.95965494258
15,1015.67495494258
16,1001.56460494258
17,995.712604942581
18,1000.45120494258
19,1018.33400494258
20,1019.68585494258
21,977.883004942583
22,1008.65730494258
23,1009.02780494258
24,1029.51550494258
25,1017.53600494258
26,1000.87490494258
27,991.641854942581
28,1017.80960494258
29,1021.46805494258
30,1033.94155494258
31,1024.51185494258
32,1013.40065494258
33,1016.93560494258
34,1029.26755494258
35,1016.13475494258
36,1019.85210494258
37,1011.70585494258
38,1016.63065494258
39,1019.06170494258
40,1032.17930494258
41,1019.98415494258
42,1028.72035494258
43,1016.67625494258
44,1030.56430494258
45,1015.13060494258
46,1012.42595494258
47,1016.35135494258
48,1013.67520494258
49,1021.71030494258
50,1015.64550494258
51,1026.37290494258
52,1022.93105494258
53,1022.71825494258
54,997.063504942582
55,1019.19945494258
56,1022.09885494258
57,1030.99370494258
58,1015.19235494258
59,1021.87560494258
60,1024.25345494258
61,1024.20785494258
62,1000.40655494258
63,1018.15445494258
64,1031.25400494258
65,1023.78320494258
66,1017.62910494258
67,1022.14920494258
68,1015.88680494258
69,1024.59355494258
70,1026.77570494258
71,1024.08910494258
72,991.397704942582
73,1020.70140494258
74,1023.99980494258
75,1016.61925494258
76,1002.54025494258
77,1012.24260494258
78,1024.36840494258
79,1022.04375494258
80,1018.84795494258
81,1017.17500494258
82,1026.13635494258
83,1021.12415494258
84,1028.21495494258
85,1021.02915494258
86,984.785704942581
87,1014.43900494258
88,1018.24280494258
89,1014.39150494258
90,1020.57125494258
91,1006.53785494258
92,1027.15665494258
93,1029.70930494258
94,1002.20585494258
95,1021.13555494258
96,1009.73650494258
97,1030.56620494258
98,1016.04735494258
99,1007.71965494258
100,984.284104942581
101,1029.75490494258
102,1026.68450494258
103,1009.51990494258
104,1027.15095494258
105,1028.92935494258
106,1005.38265494258
107,1025.09420494258
108,1019.85495494258
109,1017.62150494258
110,1009.58165494258
111,1009.35840494258
112,1016.07775494258
113,1018.87170494258
114,1031.20650494258
115,979.935004942582
116,1028.82580494258
117,1023.30250494258
118,1031.87245494258
119,976.939654942583
120,1033.83515494258
121,1008.81690494258
122,1006.41530494258
123,1031.18560494258
124,999.696904942583
125,1028.37455494258
126,1023.80220494258
127,1023.98840494258
128,1030.89965494258
129,988.588554942581
130,997.55655494258
131,1005.97830494258
132,1020.92180494258
133,1017.38020494258
134,999.534454942582
135,992.64505494258
136,999.695954942583
137,1014.83420494258
138,1016.63350494258
139,1006.15215494258
140,1025.82475494258
141,1026.78235494258
142,1010.78910494258
143,994.356004942582
144,1029.86320494258
145,1004.78795494258
146,994.818654942581
147,1027.15285494258
148,1009.34035494258
149,1013.07005494258
150,1025.06760494258
151,1029.47085494258
152,1026.26840494258
153,1020.53610494258
154,1027.88720494258
155,1028.66715494258
156,1024.59450494258
157,1023.11345494258
158,1015.85735494258
159,1003.61945494258
160,1028.96070494258
161,1015.78895494258
162,1023.83355494258
163,977.430804942584
164,1018.93915494258
165,990.285254942583
166,1026.70825494258
167,1020.64630494258
168,1022.76100494258
169,1031.31005494258
170,1009.79160494258
171,998.992954942582
172,1022.13685494258
173,1025.54070494258
174,1027.52430494258
175,1003.46650494258
176,1026.88115494258
177,1024.25250494258
178,1007.57050494258
179,1002.76160494258
180,1031.30910494258
181,1009.61965494258
182,1026.14300494258
183,1026.17720494258
184,1004.60745494258
185,1030.69255494258
186,1024.92510494258
187,1015.70345494258
188,1023.22840494258
189,1010.72925494258
190,1032.30945494258
191,1023.91715494258
192,1021.84615494258
193,963.365104942583
194,1009.95500494258
195,1001.86385494258
196,1018.35110494258
197,1000.64500494258
198,1021.74640494258
199,1006.41625494258
200,1013.33605494258
201,1017.09140494258
202,1002.79675494258
203,1030.44365494258
204,1031.13810494258
205,1004.18660494258
206,1029.90880494258
207,1009.61300494258
208,1023.56280494258
209,1021.02250494258
210,993.280604942581
211,1028.12375494258
212,1021.37590494258
213,1025.02295494258
214,1026.00810494258
215,1027.97555494258
216,1010.91355494258
217,1017.54740494258
218,1014.22050494258
219,1014.37345494258
220,1027.90810494258
221,1009.82200494258
222,1031.10485494258
223,1022.84270494258
224,985.925704942582
225,1022.52445494258
226,1011.70965494258
227,1007.59615494258
228,1030.98705494258
229,1025.26425494258
230,1002.49845494258
231,1014.36110494258
232,984.248954942582
233,1000.98795494258
234,1029.20580494258
235,1026.55245494258
236,1009.59115494258
237,1006.58440494258
238,1029.98385494258
239,979.973004942583
240,1004.24930494258
241,1014.41715494258
242,1005.14420494258
243,1006.19775494258
244,1019.21370494258
245,998.601554942583
246,1027.12150494258
247,1013.43580494258
248,1030.45980494258
249,1023.92000494258
250,1015.02515494258
251,1005.46625494258
252,1028.60825494258
253,1013.89940494258
254,990.238704942582
255,1024.08910494258
256,1016.87955494258
257,1028.24915494258
258,1021.77395494258
259,1023.91905494258
260,1001.22450494258
261,1022.00670494258
262,1028.19500494258
263,992.943354942582
264,970.930904942583
265,1010.89455494258
266,1024.05490494258
267,1024.92130494258
268,1008.44640494258
269,1022.97855494258
270,1028.74600494258
271,1032.23820494258
272,1014.31835494258
273,1032.22015494258
274,1015.80605494258
275,1021.74925494258
276,995.582454942582
277,1020.26440494258
278,1014.34590494258
279,997.022654942582
280,1028.86475494258
281,1015.44410494258
282,994.303754942581
283,1026.63510494258
284,1014.78860494258
285,1022.13115494258
286,1011.49305494258
287,1005.79780494258
288,1030.49685494258
289,1016.62400494258
290,998.222504942583
291,999.279854942582
292,1021.89365494258
293,1007.13445494258
294,1028.13420494258
295,1027.07020494258
296,1026.01760494258
297,1026.79185494258
298,1012.68435494258
299,1019.44265494258
300,1025.73925494258
